# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2023-01-25T07:39:53   104040  RSR        Pointing     Map(Az)     0825+031                  2023-S1-MX-46                       0.0     0      68.2  126.459743   3.156811  225.0  68.2  0 0
2023-01-25T07:43:36   104041  RSR        Calibration  Cal         G09-44907                 2023-S1-MX-46                       0.0     0      12.0  129.345104   1.427174  218.0  68.1  0 0
2023-01-25T07:44:34   104042  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     300.2  129.345104   1.427174  218.5  67.9  0 0
2023-01-25T07:50:52   104043  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     300.1  129.345104   1.427174  221.8  67.0  0 0
2023-01-25T07:57:05   104044  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     300.2  129.345104   1.427174  224.8  66.0  0 0
2023-01-25T08:03:37   104045  RSR        Calibration  Cal         G09-44907                 2023-S1-MX-46                       0.0     0      12.0  129.345104   1.427174  227.6  64.8  0 0
2023-01-25T08:04:37   104046  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     300.2  129.345104   1.427174  228.1  64.7  0 0
2023-01-25T08:10:52   104047  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     305.6  129.345104   1.427174  230.6  63.5  0 0
2023-01-25T08:17:05   104048  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     302.6  129.345104   1.427174  232.9  62.4  0 0
2023-01-25T08:23:42   104049  RSR        Calibration  Cal         G09-44907                 2023-S1-MX-46                       0.0     0      12.0  129.345104   1.427174  235.1  61.1  0 0
2023-01-25T08:24:47   104050  RSR        Science      Bs          G09-44907                 2023-S1-MX-46                       0.0     0     301.8  129.345104   1.427174  235.5  60.9  0 0
